,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
497,111,144,199,0.5577889447236181,0.7236180904522613,A2F6N60Z96CAJI
1404,54,76,92,0.5869565217391305,0.8260869565217391,AHUT55E980RDR
434,47,58,67,0.7014925373134329,0.8656716417910447,A320TMDV6KCFU
421,25,41,65,0.38461538461538464,0.6307692307692307,A2TX179XAT5GRP
1001,58,61,64,0.90625,0.953125,A3U7ELIED4WP4R
67,20,27,58,0.3448275862068966,0.46551724137931033,A1K1JW1C5CUSUZ
564,42,44,50,0.84,0.88,A14I311IIUMBWC
1537,23,38,49,0.46938775510204084,0.7755102040816326,A2VQNF5HS9KJDD
939,23,33,47,0.48936170212765956,0.7021276595744681,AFVZXHIUSXINA
1591,33,40,46,0.717391304347826,0.8695652173913043,A22B13EJTZKCTM
20,6,16,46,0.13043478260869565,0.34782608695652173,A22RY8N8CNDF3A
5541,2,3,44,0.045454545454545456,0.06818181818181818,A26JGAM6GZMM4V
698,33,40,43,0.7674418604651163,0.9302325581395349,A13QTZ8CIMHHG4
1467,34,36,42,0.8095238095238095,0.8571428571428571,A3KR1H0TMY05U4
1350,5,9,42,0.11904761904761904,0.21428571428571427,A1M8PP7MLHNBQB
1375,26,33,42,0.6190476190476191,0.7857142857142857,AC1K4OQOZ90RS
95,26,33,41,0.6341463414634146,0.8048780487804879,A2GBJQ9THOYDAJ
895,18,28,41,0.43902439024390244,0.6829268292682927,A25KKXUQQ0OLWB
6632,32,38,40,0.8,0.95,A2UVDPBRZTWN6S
840,39,40,40,0.975,1.0,A3JB97XCAKPIQA
1273,22,29,40,0.55,0.725,A1D5RCOILPC9LX
1840,19,25,39,0.48717948717948717,0.6410256410256411,A1D2C0WDCSHUWZ
855,27,33,38,0.7105263157894737,0.868421052631579,A2EMIIHBL60K7L
3361,19,25,38,0.5,0.6578947368421053,A27R2V3WLS43LP
2631,22,35,38,0.5789473684210527,0.9210526315789473,AKPKPMWM6IIU5
428,4,10,36,0.1111111111111111,0.2777777777777778,A1NATT3PN24QWY
2,9,17,36,0.25,0.4722222222222222,AMX0PJKV4PPNJ
4222,34,34,35,0.9714285714285714,0.9714285714285714,A380JFP02KLOU
5604,5,11,34,0.14705882352941177,0.3235294117647059,A1LI7KZH6VHPAQ
3686,4,6,34,0.11764705882352941,0.17647058823529413,A13G1TKIKHGV3F
3422,34,34,34,1.0,1.0,A1I5JKKMD84DRU
1942,29,31,33,0.8787878787878788,0.9393939393939394,APBF8YPKN9LFL
185,18,27,33,0.5454545454545454,0.8181818181818182,A1CNQTCRQ35IMM
1106,24,26,33,0.7272727272727273,0.7878787878787878,AN8C7BGR98HLN
2125,19,27,32,0.59375,0.84375,A6XR7Y415RPD0
3558,6,15,32,0.1875,0.46875,A21NVBFIEQWDSG
1280,15,25,31,0.4838709677419355,0.8064516129032258,ACGQBAGOS2G6O
539,26,29,31,0.8387096774193549,0.9354838709677419,ABUY5XK1R4YYZ
1234,23,26,31,0.7419354838709677,0.8387096774193549,A1IOJE0W1NXOSE
57,16,20,31,0.5161290322580645,0.6451612903225806,A3OL1AX1IODBYL
1534,19,24,31,0.6129032258064516,0.7741935483870968,A2CR57GAJKNWVV
3240,25,28,31,0.8064516129032258,0.9032258064516129,A3B48AN8JID1JK
5549,18,28,30,0.6,0.9333333333333333,A2WY52YD5GAEIB
49,24,25,29,0.8275862068965517,0.8620689655172413,A1CTXKA2C7BSC8
304,8,13,29,0.27586206896551724,0.4482758620689655,AHD101501WCN1
3484,15,23,29,0.5172413793103449,0.7931034482758621,A1N1YEMTI9DJ86
5927,12,20,29,0.41379310344827586,0.6896551724137931,A1POFVVXUZR3IQ
359,22,25,29,0.7586206896551724,0.8620689655172413,A2X6WMYTYRE130
2064,21,28,28,0.75,1.0,A1JKGTL51HHTU1
529,16,25,28,0.5714285714285714,0.8928571428571429,A2IF83HCHVSRW2
1601,27,27,28,0.9642857142857143,0.9642857142857143,A3QW3JI0ZK13PI
2393,19,21,28,0.6785714285714286,0.75,A2TSTJP0B3A3H5
1022,10,18,28,0.35714285714285715,0.6428571428571429,A8N3FYDA2VUYY
597,9,16,28,0.32142857142857145,0.5714285714285714,A1BI8PUEHA5CHW
488,23,25,27,0.8518518518518519,0.9259259259259259,A3M3W5GV0HIQK4
